"Project";"Whole Duration(hours)";"Whole Effort (hours)";"Progress (%)";"Done (hours)";"Remaining (hours)"
"  Install tile in toilet rooms";48.0;18.0;"100%";18.0;0.0
"  Clean toilet room tile";24.0;0.0;"100%";0.0;0.0
"  Rough-in plumbing at toilets and masonry walls";96.0;36.0;"100%";36.0;0.0
"  Install exterior masonry work";120.0;27.0;"100%";27.0;0.0
"Window wall and store front closures";240.0;72.0;"100%";72.0;0.0
"  Install window wall aluminum and glass";120.0;36.0;"100%";36.0;0.0
"  Install store front doors and hardware";72.0;0.0;"100%";0.0;0.0
"  Install interior doors and hardware";48.0;9.0;"100%";9.0;0.0
"  Install interior stud walls and drywall";120.0;27.0;"100%";27.0;0.0
"Mobilize on Site";168.0;99.0;"92%";99.0;0.0
"  Install temporary power";48.0;18.0;"100%";18.0;0.0
"  Install temporary water service";48.0;18.0;"100%";18.0;0.0
"  Set up site office";72.0;18.0;"100%";18.0;0.0
"  Set line and grade benchmarks";72.0;9.0;"100%";9.0;0.0
"  Prepare site - lay down yard and temporary fencing";48.0;36.0;"50%";36.0;0.0
"Plumbing";1536.0;45.0;"100%";45.0;0.0
"  Tie-in fire line riser and set valves";48.0;9.0;"100%";9.0;0.0
"  Rough-in plumbing in drywall walls";96.0;9.0;"100%";9.0;0.0
"  Flush, test, and clean piping and fixtures";48.0;9.0;"100%";9.0;0.0
"  Set plumbing fixtures and trim";72.0;18.0;"100%";18.0;0.0
"Building Finishes";288.0;198.0;"100%";198.0;0.0
"  Install millwork and wood trim";72.0;18.0;"100%";18.0;0.0
"  Install conduit at ceiling plenum space";72.0;27.0;"100%";27.0;0.0
"  Install building carpet";96.0;27.0;"100%";27.0;0.0
"  Install hardware and accessories";72.0;27.0;"100%";27.0;0.0
"  Complete interior and exterior sod and plantings";48.0;18.0;"100%";18.0;0.0
"  Paint walls and woodwork";96.0;27.0;"100%";27.0;0.0
"  Install ceiling grid";48.0;0.0;"100%";0.0;0.0
"  Pave, curb, and stripe parking lot";48.0;0.0;"100%";0.0;0.0
"  Install duct in ceiling plenum space";72.0;18.0;"100%";18.0;0.0
"  Install ceiling tile";48.0;18.0;"100%";18.0;0.0
"  Hang wallpaper";48.0;18.0;"100%";18.0;0.0
"Site Grading and Utilities";144.0;54.0;"100%";54.0;0.0
"  Clear and grub site";72.0;9.0;"100%";9.0;0.0
"  Stone site access and temporary parking area";48.0;0.0;"100%";0.0;0.0
"  Install storm drainage";48.0;0.0;"100%";0.0;0.0
"  Install exterior fire line and building fire riser";48.0;18.0;"100%";18.0;0.0
"  Rough grade site (cut and fill)";24.0;9.0;"100%";9.0;0.0
"  Perform final site grading";48.0;9.0;"100%";9.0;0.0
"  Erect building batter boards and layout building";24.0;9.0;"100%";9.0;0.0
"Electrical";1536.0;72.0;"100%";72.0;0.0
"  Rough-in electrical in drywall walls";96.0;0.0;"100%";0.0;0.0
"  Pull wire in conduit and set area transformers";72.0;9.0;"100%";9.0;0.0
"  Install light fixtures - test and clean";48.0;0.0;"100%";0.0;0.0
"  Rough-in electrical in masonry walls";96.0;36.0;"100%";36.0;0.0
"  Install and terminate electrical devices";72.0;9.0;"100%";9.0;0.0
"  Make electrical terminations for HVAC equipment";48.0;18.0;"100%";18.0;0.0
"Heating and Ventilating - AC";1224.0;99.0;"100%";99.0;0.0
"  Rough-in mechanical in drywall walls";48.0;18.0;"100%";18.0;0.0
"  Rough-in mechanical in masonry walls";96.0;36.0;"100%";36.0;0.0
"  Set equipment in mechanical room";48.0;9.0;"100%";9.0;0.0
"  Install duct in building chase";72.0;0.0;"100%";0.0;0.0
"  Set HVAC trim and test and balance system";96.0;36.0;"100%";36.0;0.0
"Complete Final Inspections";1248.0;36.0;"100%";36.0;0.0
"  Perform architect's inspection";24.0;18.0;"100%";18.0;0.0
"  Perform Fire Marshal's inspection";24.0;0.0;"100%";0.0;0.0
"  Complete elevator inspection and certification";72.0;18.0;"100%";18.0;0.0
"  Perform local building agency inspection";24.0;0.0;"100%";0.0;0.0
"Obtain certificate of occupancy";48.0;9.0;"100%";9.0;0.0
"Issue final completion documents including warranties";24.0;0.0;"100%";0.0;0.0
"Form and Pour Concrete - Floors and Roof";840.0;594.0;"100%";594.0;0.0
"  Form 2nd floor including all floor openings";120.0;54.0;"100%";54.0;0.0
"  Install rebar and in-floor utilities (including mechanical, electrical, plumbing)";120.0;54.0;"100%";54.0;0.0
"  Pour 2nd floor slab";96.0;18.0;"100%";18.0;0.0
"  Cure 2nd floor slab";168.0;45.0;"100%";45.0;0.0
"  Strip forms from 2nd floor slab";48.0;0.0;"100%";0.0;0.0
"  Form 3rd floor including all floor openings";120.0;45.0;"100%";45.0;0.0
"  Install rebar and in-floor utilities (including mechanical, electrical, plumbing)";120.0;54.0;"100%";54.0;0.0
"  Install electrical underground";24.0;9.0;"100%";9.0;0.0
"  Install plumbing underground";24.0;9.0;"100%";9.0;0.0
"  Install rebar and in-floor utilities";96.0;36.0;"100%";36.0;0.0
"  Form 1st floor";96.0;0.0;"100%";0.0;0.0
"  Pour 3rd floor slab";96.0;18.0;"100%";18.0;0.0
"  Cure 3rd floor slab";168.0;0.0;"100%";0.0;0.0
"  Cure 1st floor slab";168.0;45.0;"100%";45.0;0.0
"  Strip forms from 3rd floor slab";48.0;0.0;"100%";0.0;0.0
"  Form roof slab including all floor openings";120.0;27.0;"100%";27.0;0.0
"  Install rebar and in-floor utilities (including mechanical, electrical, plumbing)";120.0;54.0;"100%";54.0;0.0
"  Pour roof slab";96.0;36.0;"100%";36.0;0.0
"  Cure roof slab";168.0;45.0;"100%";45.0;0.0
"  Strip forms from roof slab";48.0;0.0;"100%";0.0;0.0
"  Pour 1st floor slab";96.0;27.0;"100%";27.0;0.0
"  Strip forms from 1st floor slab";48.0;18.0;"100%";18.0;0.0
"Elevators";144.0;36.0;"100%";36.0;0.0
"  Set elevator equipment in shafts";96.0;18.0;"100%";18.0;0.0
"  Test and align doors and equipment";48.0;18.0;"100%";18.0;0.0
"  Set equipment in mechanical room";48.0;0.0;"100%";0.0;0.0
"Carpentry Work";72.0;27.0;"100%";27.0;0.0
"  Install exterior sheathing and metal studs";72.0;27.0;"100%";27.0;0.0
"Complete punch list items from all inspections";48.0;162.0;"100%";162.0;0.0
"Issue final request for payment";24.0;27.0;"100%";27.0;0.0
